Variable,Group1,Group2,Test,Statistic,p_value,Cohen_d,Mean_Group1,Mean_Group2,Std_Group1,Std_Group2,median_Group1,median_Group2,MAD_Group1,MAD_Group2,adj_p_value,Significant
pswe_events_per_minute_EEG T3,Control,COBRAD,Mann-Whitney U,742.0,3.0709918986100227e-38,1.9355099263764073,0.08877526533996113,0.7578432475814147,0.3098140277612496,0.419980954588909,0.0,0.7006773178990677,0.0,0.2654091860698909,1.526721686737554e-36,True
pswe_avg_length_EEG T3,Control,COBRAD,Mann-Whitney U,1998.5,8.596438243614468e-27,1.5786042466743313,1.633359735654608,6.0454228345492735,3.153623438482751,1.6273547288490176,0.0,6.191838637251241,0.0,1.1766536485989008,3.786785454149158e-26,True
dfv_mean_EEG T3,Control,COBRAD,Mann-Whitney U,11614.0,8.396372100034557e-09,-0.48478203634939404,6.553539051175398,5.41903829500882,1.9627523117304861,3.0670847965268075,6.527777777777778,4.93337965130217,1.0992458834924586,1.1170598219435202,1.3590406934009422e-08,True
dfv_std_EEG T3,Control,COBRAD,Mann-Whitney U,4921.0,2.751431047135694e-07,0.5141546140433861,4.65697029373333,5.5544598243856536,1.7738579450805785,1.675121728271763,4.266861741834828,5.566764958030275,0.8591725178064791,1.0039530611655434,4.1271465707035413e-07,True
min_EEG T4,Control,COBRAD,Mann-Whitney U,13993.0,5.675320084289213e-22,-1.0636946290701321,-4.944708021127848e-05,-0.00010898778204773414,2.9982308518452056e-05,9.241052251703762e-05,-4.176894923320526e-05,-8.699593117829967e-05,1.08411615923849e-05,2.8662034849556506e-05,1.5800091114661169e-21,True
max_EEG T4,Control,COBRAD,Mann-Whitney U,2082.0,1.6080483279983708e-22,1.1434146202680424,4.6871851581822093e-05,0.00010752691417451605,2.8512171185434755e-05,8.749924478956316e-05,3.8793278043661546e-05,8.495651023020665e-05,1.0182038271698136e-05,2.8149361779234687e-05,4.624800149945727e-22,True
mean_EEG T4,Control,COBRAD,Mann-Whitney U,9502.0,0.020327576642289576,-0.13327995688403713,1.2595395286944509e-08,-2.024040079638865e-09,1.291551534811868e-07,2.7961403561481303e-08,4.3719046180155806e-09,-3.241443235805248e-09,1.3887493207870993e-08,1.0170417147257429e-08,0.02357998890505591,True
median_EEG T4,Control,COBRAD,Mann-Whitney U,13039.0,6.404735205706521e-16,-0.9708717423641665,1.1002832261891615e-07,-3.185555116238059e-08,1.5337875259718087e-07,1.2693001335277893e-07,8.87124514307327e-08,-1.139212380886609e-08,6.330895466699601e-08,5.8763637648922505e-08,1.3673913199913309e-15,True
std_EEG T4,Control,COBRAD,Mann-Whitney U,3884.0,8.562554266087665e-12,0.7798849664504601,6.771572061527461e-06,1.0932509365593283e-05,2.5864330830063517e-06,9.008787852309478e-06,6.2392977109566975e-06,8.6326896167029e-06,1.298088853390276e-06,2.1850854523179078e-06,1.53596334257655e-11,True
psd_mean_EEG T4,Control,COBRAD,Mann-Whitney U,3032.0,2.0943482568306643e-16,0.47287620681877646,1.0705186034684878e-12,7.254770505505579e-12,1.058021617577428e-12,2.4128432733313993e-11,7.483968915179068e-13,1.9461046544493534e-12,3.06408777706166e-13,9.926501606802587e-13,4.583856562119944e-16,True
psd_std_EEG T4,Control,COBRAD,Mann-Whitney U,2747.0,3.931132165413403e-18,0.371021105033379,2.3098637443231044e-12,2.2551832256995355e-11,2.7190231983124123e-12,1.0080208953673426e-10,1.4032223600120902e-12,4.54419228146494e-12,6.093728594975661e-13,2.521057733332596e-12,9.370095846327838e-18,True
fft_mean_EEG T4,Control,COBRAD,Mann-Whitney U,1767.0,8.946575543538354e-25,1.5469629568033878,0.0025081992172727397,0.0055320323919078795,0.001014622978116487,0.003251953237081535,0.0022637174574276,0.0046801432591669564,0.0004747109341736999,0.0014571386654494954,3.1448568577286333e-24,True
fft_std_EEG T4,Control,COBRAD,Mann-Whitney U,1450.0,3.700986005789525e-27,0.997384485928449,0.003280702826654439,0.008323203938072453,0.001556954283788403,0.009030190728823948,0.0029000240238233,0.00634561446449545,0.0007891221103456998,0.0016267729350201258,1.6946620131773088e-26,True
delta_power_EEG T4,Control,COBRAD,Mann-Whitney U,1305.0,2.753431753102808e-28,0.6004880669212429,9.217645556695177e-12,8.055919222593358e-11,1.1999500342325962e-11,2.189084001343376e-10,5.839691703810221e-12,3.008772642806541e-11,2.0704537097260075e-12,1.5703831948061714e-11,1.4518094698178443e-27,True
theta_power_EEG T4,Control,COBRAD,Mann-Whitney U,4180.0,2.2001847150569215e-10,0.49524544483842214,1.0127909154586293e-11,2.9145024367030475e-11,1.3721192192444872e-11,6.772663561292403e-11,5.7831414163001884e-12,1.2617615228047815e-11,3.02470809304368e-12,6.036788008500321e-12,3.734947711413701e-10,True
alpha_power_EEG T4,Control,COBRAD,Mann-Whitney U,6823.0,0.04117944279012004,0.3004279497653303,9.456050729971193e-12,1.489889302327081e-11,1.121979320218819e-11,2.8597879519773175e-11,6.09541734603579e-12,6.769861920583422e-12,3.163659509187102e-12,3.0630687676877382e-12,0.046227245454715404,True
beta_power_EEG T4,Control,COBRAD,Mann-Whitney U,5139.0,1.7129240882979587e-06,0.5443514416673129,1.0057178239823783e-11,2.843446986354335e-11,8.980161558196554e-12,6.084799719879554e-11,7.417917804178028e-12,1.2261390713437436e-11,3.2203229998909304e-12,5.797274000858533e-12,2.4941321453041407e-06,True
gamma_power_EEG T4,Control,COBRAD,Mann-Whitney U,3037.0,2.241375365566443e-16,0.3374051017424756,7.476071560363014e-12,1.2021857515182697e-10,8.141669465099776e-12,6.177918382694986e-10,4.714670993204756e-12,1.665924914059332e-11,2.2173470870937557e-12,1.0320092462664303e-11,4.874991420107014e-16,True
skewness_EEG T4,Control,COBRAD,Mann-Whitney U,3758.0,2.006455262303546e-12,0.8826430224766719,-0.10127908385385204,0.015779506700594116,0.1325555677692788,0.13278535040845876,-0.103983447110661,0.007007827166364817,0.0663020403445069,0.06750216318094912,3.6749812172717574e-12,True
kurtosis_EEG T4,Control,COBRAD,Mann-Whitney U,919.0,2.083079897866989e-31,1.2501424429995698,1.0932889440390725,3.994424026881443,1.797308237344428,3.255783140724907,0.7595560737410514,2.8615113093427835,0.3070366514945553,1.068621913140209,2.013643901271423e-30,True
mean_mpf_EEG T4,Control,COBRAD,Mann-Whitney U,9346.0,0.03881423206682495,-0.15756015318601363,10.664918628959654,10.287164879850678,2.281412007497068,2.6575692280990575,10.481020001855974,9.955326961341179,1.4416170920007279,1.1454763762208495,0.04371311572574461,True
median_mpf_EEG T4,Control,COBRAD,Mann-Whitney U,9910.0,0.002837617812814995,-0.248708716059906,10.630194094514788,10.017763467349377,2.3159460676622587,2.7852238223198333,10.41385282439289,9.605472640515233,1.3033981111663486,1.3203045556227373,0.0035017411307078665,True
pswe_percentage_EEG T4,Control,COBRAD,Mann-Whitney U,855.0,3.01164081080617e-37,1.1720730789401064,1.4510037380980452,9.506724667688522,7.0777157946877365,6.350589898252185,0.0,8.686864000941306,0.0,3.9974247291778053,9.5277363832777e-36,True
pswe_events_per_minute_EEG T4,Control,COBRAD,Mann-Whitney U,1017.0,1.1355438830398252e-35,1.4644125569907231,0.1008032558340706,0.6320832556904139,0.3551396707525746,0.3806791376779407,0.0,0.5967796996433736,0.0,0.1986985252590988,2.0798382699887324e-34,True
pswe_avg_length_EEG T4,Control,COBRAD,Mann-Whitney U,2420.5,1.7080219281238588e-23,1.5866372490389518,1.594179972430814,5.695800124215063,2.9196410875826304,1.4922008248604255,0.0,5.575143821695217,0.0,0.9718190172519359,5.2601029290894054e-23,True
