Variable,Group1,Group2,Test,Statistic,p_value,Cohen_d,Mean_Group1,Mean_Group2,Std_Group1,Std_Group2,median_Group1,median_Group2,MAD_Group1,MAD_Group2,adj_p_value,Significant
median_mpf_EEG F8,Control,WNV,Mann-Whitney U,1689.0,0.000808977687441705,-0.8723494723672486,9.574532733141481,7.484282511533279,2.0839825894327957,3.3406764171722143,9.455586737239082,7.377597042224117,1.173483095122113,2.5042950587544865,0.0019213220076740496,True
pswe_percentage_EEG F8,Control,WNV,Mann-Whitney U,321.5,7.3425466923411515e-09,1.7525448857568477,1.7325498515010773,28.850433408548184,3.999584949328364,33.244848018699194,0.0,10.536033021209295,0.0,10.17990766508394,1.0897477847461829e-07,True
pswe_events_per_minute_EEG F8,Control,WNV,Mann-Whitney U,327.5,9.344380188321187e-09,1.7146019988774481,0.15590845722543464,1.2635062259013874,0.3449387036047405,1.2542840518434326,0.0,0.8679245283018868,0.0,0.7509654639744016,1.2387037090946375e-07,True
pswe_avg_length_EEG F8,Control,WNV,Mann-Whitney U,365.5,4.097590415628805e-08,0.8749274077043744,2.994819803570794,16.123654605941105,3.2480715022891427,32.50872273517577,0.0,7.5,0.0,1.8125,3.536649933388521e-07,True
dfv_mean_EEG F8,Control,WNV,Mann-Whitney U,1747.0,0.00019296331946246374,-0.8354719901209124,5.371716596191276,3.8499185813163903,1.747939414087027,2.0820708543004014,5.239406340654787,3.445774647887324,1.2474112093972174,1.4262318621352157,0.0005579156845327756,True
dfv_std_EEG F8,Control,WNV,Mann-Whitney U,1471.0,0.05390123232759092,-0.13878697969037165,4.321736019502249,4.039790142137664,1.6991591925585539,2.988549882907332,3.8470975686005637,3.3500524020532736,0.7458019395171784,1.4440067932912803,0.07390581339762466,False
min_EEG T3,Control,WNV,Mann-Whitney U,1725.0,0.000337669240893672,-0.9411488044317025,-4.9178001050376226e-05,-7.946864316701711e-05,2.3938940576383608e-05,5.318977389253848e-05,-4.1811013462889505e-05,-6.0354716427618516e-05,1.032484167004095e-05,1.781954818583476e-05,0.000886381757345889,True
max_EEG T3,Control,WNV,Mann-Whitney U,675.0,0.001120507577210368,0.8266507361751199,4.7600204330687066e-05,7.806238645564342e-05,2.819246619670979e-05,5.9497966592238124e-05,3.940574063061158e-05,5.308677853516038e-05,9.04623832193456e-06,1.4549183623958784e-05,0.002483791796149649,True
mean_EEG T3,Control,WNV,Mann-Whitney U,1150.0,0.8730225711756011,-0.00886736737952643,8.332962583772785e-09,8.086963386244426e-09,2.430665898247563e-08,3.8242759099762574e-08,3.5084933402284137e-09,7.2247409707507714e-09,1.653443805327828e-08,1.973758651631472e-08,0.914267732018543,False
median_EEG T3,Control,WNV,Mann-Whitney U,1301.0,0.4129737289961659,-0.5662601084360765,6.707458962705448e-08,-3.027012280546035e-08,1.3743277146351758e-07,2.662289761656341e-07,5.461858451240665e-08,6.014173031771857e-08,5.448611068085751e-08,8.040963199130585e-08,0.49040630318294703,False
std_EEG T3,Control,WNV,Mann-Whitney U,746.0,0.005186347805997732,0.8766955492362427,6.765224268024626e-06,1.0043096471869866e-05,2.8672145974409507e-06,6.024382306587693e-06,6.0902447744510016e-06,7.189077092077989e-06,1.1702472611729426e-06,1.7940834598877817e-06,0.008731446306299979,True
psd_mean_EEG T3,Control,WNV,Mann-Whitney U,708.0,0.002341463675731244,0.7604665243134876,1.1149613248585997e-12,2.5127527168903828e-12,1.3313252690587878e-12,3.098718388029626e-12,6.586071136563923e-13,9.766425004403032e-13,2.371073967103751e-13,5.210965676641398e-13,0.004535165080663915,True
psd_std_EEG T3,Control,WNV,Mann-Whitney U,591.0,0.000141041707521916,0.7887251626001855,2.5569786833472334e-12,6.2644707764625905e-12,3.5813975513537056e-12,7.616726967944001e-12,1.3552752617116294e-12,2.613058052963692e-12,5.450542890307762e-13,1.1875425766952694e-12,0.000423125122565748,True
fft_mean_EEG T3,Control,WNV,Mann-Whitney U,979.0,0.20220258848829276,0.622301276607023,0.0024220382831873564,0.00332854793726389,0.0009814248703233558,0.002571444161347206,0.0021510621896729002,0.002352643073336886,0.0004723136579469,0.000860925430324714,0.25450735901207827,False
fft_std_EEG T3,Control,WNV,Mann-Whitney U,684.0,0.0013758540316767115,0.774935725070792,0.0032207475798436474,0.004695458139570596,0.0016033577256151287,0.0027736037818436765,0.0028501946370623997,0.0034914978913307,0.0006354290734341998,0.0005830776702198002,0.002935645768123037,True
delta_power_EEG T3,Control,WNV,Mann-Whitney U,423.0,9.474733784782193e-07,1.2270929037589557,9.830038472677198e-12,4.371580346907902e-11,1.197884105215428e-11,5.622717013818796e-11,6.046204573849873e-12,1.7432563823131697e-11,2.3825287248556546e-12,7.714866791458373e-12,4.447551506033053e-06,True
theta_power_EEG T3,Control,WNV,Mann-Whitney U,805.0,0.01593712589682612,0.45594782915554105,1.1689328281912501e-11,2.0869128647544664e-11,1.759190069975297e-11,2.787280039172417e-11,5.981761527826061e-12,1.0044001460159236e-11,3.2403977641734394e-12,4.044460663115373e-12,0.02436365223307901,True
